Iteration,q_r_0,q_r_1,q_r_2,q_r_3,q_r_4,q_r_5,q_r_6,translation_goal_r_0,translation_goal_r_1,translation_goal_r_2,translation_r_0,translation_r_1,translation_r_2,ecart_q_r_0,ecart_q_r_1,ecart_q_r_2,ecart_q_r_3,ecart_q_r_4,ecart_q_r_5,ecart_q_r_6,Ecart_pos_r,Ecart_rot_r
55,-0.05132667347788811,-0.5729606747627258,0.10555363446474075,-1.6295034885406494,-0.32424047589302063,0.19826795160770416,-0.35744184255599976,0.4,-0.2,-0.25,0.3999999717389132,-0.19999997940873257,-0.24999978990789662,0.0028695911169052124,0.00669407844543457,0.005673058331012726,0.0312802791595459,0.006227046251296997,0.033529803156852694,0.0038224458694458563,2.129821148012652e-07,5.274082610640107e-05
56,-0.048457082360982895,-0.5662665963172913,0.11122669279575348,-1.5982232093811035,-0.3304675221443176,0.16473814845085147,-0.3612642884254456,0.4,-0.2,-0.26,0.39999998183489116,-0.1999999980926498,-0.2599997935924986,0.0014991648495197296,0.006702840328216553,0.006080105900764465,0.03252899646759033,0.006161898374557495,0.03345660865306857,0.004358232021331732,2.0721405794240178e-07,5.3672424428441445e-05
57,-0.046957917511463165,-0.5595637559890747,0.11730679869651794,-1.5656942129135132,-0.3366294205188751,0.1312815397977829,-0.36562252044677734,0.4,-0.2,-0.27,0.39999998538758097,-0.19999998679048914,-0.26999976487917254,0.00014165043830871582,0.00672680139541626,0.006471998989582062,0.03381073474884011,0.006133705377578735,0.03340990841388701,0.004894912242889404,2.359445220391145e-07,5.45346872513619e-05
58,-0.04681626707315445,-0.5528369545936584,0.1237787976861,-1.531883478164673,-0.34276312589645386,0.09787163138389589,-0.37051743268966675,0.4,-0.2,-0.28,0.3999999959532346,-0.20000000781736774,-0.27999978821744187,0.0012073665857315063,0.006767749786376953,0.0068513378500938416,0.03513443470001243,0.00614243745803833,0.03339418023824693,0.00543743371963501,2.1196542050088427e-07,5.423983054697601e-05
59,-0.048023633658885956,-0.5460692048072815,0.13063013553619385,-1.4967490434646606,-0.3489055633544922,0.06447745114564896,-0.37595486640930176,0.4,-0.2,-0.29,0.40000000073342384,-0.1999999922039374,-0.2899997627854983,0.002553090453147888,0.006828010082244873,0.007220849394798279,0.03650939464569092,0.006188720464706421,0.033414196223020554,0.005991250276565607,2.3734370920022865e-07,5.432040472896915e-05
60,-0.050576724112033844,-0.5392411947250366,0.13785098493099213,-1.4602396488189697,-0.3550942838191986,0.031063254922628406,-0.38194611668586737,0.4,-0.2,-0.3,0.40000000936187696,-0.20000000786746092,-0.2999997836009548,0.0039016231894493103,0.006909847259521484,0.007583335041999817,0.037947773933410645,0.006273925304412842,0.033475152682513,0.006562173366546575,2.1674429274400851e-07,5.307149285727064e-05
61,-0.054478347301483154,-0.5323313474655151,0.14543431997299194,-1.422291874885559,-0.36136820912361145,-0.002411897759884596,-0.38850829005241394,0.4,-0.21500000000000002,-0.3,0.4000000112234266,-0.2149999979914464,-0.29999975483097097,0.01733861118555069,0.01572507619857788,0.040064699947834,0.0014510154724121094,0.03270617127418518,0.014070347417145967,0.014576226472854614,2.4543400820547805e-07,5.575083071107656e-05
62,-0.037139736115932465,-0.548056423664093,0.10536962002515794,-1.420840859413147,-0.32866203784942627,-0.016482245177030563,-0.40308451652526855,0.4,-0.23,-0.3,0.4000000147225677,-0.23000000277433036,-0.2999997594499129,0.01592468097805977,0.01514977216720581,0.03961892426013948,0.004355192184448242,0.03262016177177429,0.015423599630594254,0.014490753412246704,2.410161722742517e-07,5.5225363439603825e-05
63,-0.021215055137872696,-0.5632061958312988,0.06575069576501846,-1.4164856672286987,-0.296041876077652,-0.03190584480762482,-0.41757526993751526,0.4,-0.245,-0.3,0.4000000179419461,-0.2450000019898397,-0.29999975811478,0.014398479368537664,0.01471024751663208,0.038969118148088455,0.007265210151672363,0.03245380520820618,0.016769766807556152,0.014248579740524292,2.4255789521100746e-07,5.5436148102216976e-05
64,-0.006816575769335032,-0.5779164433479309,0.02678157761693001,-1.4092204570770264,-0.2635880708694458,-0.04867561161518097,-0.43182384967803955,0.4,-0.26,-0.3,0.4000000176535089,-0.25999998625555926,-0.29999975884693897,0.012768800836056473,0.014410912990570068,0.03812016267329455,0.010185837745666504,0.03221592307090759,0.018103547394275665,0.013854831457138062,2.421886761735359e-07,5.421294582674818e-05
